ID	X	Y	Entry	Exit	Next	EntryNext	PointType	Title	Note	起步事件 0 掷骰子或卡片	落地事件 -1 一般事件	Info 金钱/加薪/快乐值/名誉值/经验卡/机会卡	备注
1	1.5	1.5	0	0	19	19	0	发薪日	经过此处领取薪水，若停留此处则此次获得薪水翻倍。	0	1	0/0/0/0/0/0	
2	1.5	18.5	0	0	12	12	0	医院	掷不超过5之数，方可前进。不得利用机会或经验卡，但付薪水50%给医师作为治疗费即可出院。（如无医师，则付给银行。）	42	2	0/0/0/0/0/0	
3	18.5	1.5	0	0	11	11	0	日月潭度假	行至此处得4点快乐值，掷出不超过7者可继续停留此地。每停留1回合再得2点快乐值。	43	3	0/0/0/0/0/0	
4	18.5	18.5	0	0	32	32	0	公园板凳	现在失业，必须掷7或11或双数才可以前进，不可用机会或经验卡，但可以花费手中50%金钱购买新装，然后再掷。	44	4	0/0/0/0/0/0	
5	4	1.5	0	0	1	1	1	公园塑像	可在本乡为自己建造塑像，花费一定金钱换取名誉值。（花费4000元得4点，花费8000元得8点，花费12000元得12点。）	0	5	0/0/0/0/0/0	
6	6	1.5	1	0	5	33	1	参加探险	必须捐助研究费5000元或有理学学位或有太空经验	0	6	0/0/0/0/0/0	
7	8	1.5	0	0	6	6	1	碧潭	可以花费一定金钱购买游艇游湖得到快乐值。（花费2000元得4点，花费8000元得8点，花费16000元得12点。）	0	7	0/0/0/0/0/0	
8	10	1.5	0	1	7	7	1	机会	机会卡	0	100	0/0/0/0/0/1	
9	12	1.5	1	0	8	46	1	开矿	必须花费4000元购买装备或有工学学位或有开矿经验	0	8	0/0/0/0/0/0	
10	14	1.5	0	0	9	9	1	股票市场	以3000元购买股票1股，再以1000元乘以1只骰子所掷之数卖出。每次限购2股。	0	9	0/0/0/0/0/0	
11	16	1.5	0	1	10	10	1	机会	机会卡	0	100	0/0/0/0/0/1	
12	4	18.5	0	0	13	13	1	机会	机会卡	0	100	0/0/0/0/0/1	
13	6	18.5	0	1	14	14	1	付伙食费	付手中现金的25%	0	10	0/0/0/0/0/0	
14	8	18.5	1	0	15	86	1	经营企业	必须有学士学位或花费500元雇佣职员或有企业经验	0	11	0/0/0/0/0/0	
15	10	18.5	0	1	16	16	1	机会	机会卡	0	100	0/0/0/0/0/1	
16	12	18.5	0	0	17	17	1	画廊	每幅画3000元，每购1幅画得1只骰子所掷之数点快乐值。每次限购两幅。	0	12	0/0/0/0/0/0	
17	14	18.5	1	0	18	77	1	航海	必须花费100元购买船员装备或有航海经验	0	13	0/0/0/0/0/0	
18	16	18.5	0	0	4	4	1	机会	机会卡	0	100	0/0/0/0/0/1	
19	1.5	4	0	1	20	20	1	机会	机会卡	0	100	0/0/0/0/0/1	
20	1.5	6	0	0	21	21	1	付所得税	年薪在3000元以下者付10%，3001至9999元者付50%，10000元以上者付90%。	0	14	0/0/0/0/0/0	
21	1.5	8	0	0	22	22	1	机会	机会卡	0	100	0/0/0/0/0/1	
22	1.5	10	1	0	23	104	1	农垦	必须花费1000元买种子及农具或有农业经验	0	15	0/0/0/0/0/0	
23	1.5	12	0	1	24	24	1	机会	机会卡	0	100	0/0/0/0/0/1	
24	1.5	14	0	0	25	25	1	陈列馆	花一年薪水可购得汽车，每花费1000元可得1点快乐值，如不购买则失去1点快乐值。（快乐值为0点则不减。）	0	16	0/0/0/0/0/0	
25	1.5	16	1	0	2	97	1	进大学	花费500元学费可取得医学理学工学法学等学位。（如已经毕业则重掷。）	0	17	0/0/0/0/0/0	
26	18.5	4	0	0	3	3	1	机会	机会卡	0	100	0/0/0/0/0/1	
27	18.5	6	1	0	26	57	1	电影明星	必须花费1000元购买新衣服或具有电影从业经验	0	18	0/0/0/0/0/0	
28	18.5	8	0	0	27	27	1	商场	用1只骰子掷一次可以知道您太太在这儿买了多少东西，支付手中现款的10%乘以1只骰子所掷之数。	0	19	0/0/0/0/0/0	
29	18.5	10	0	1	28	28	1	机会	机会卡	0	100	0/0/0/0/0/1	
30	18.5	12	1	0	29	66	1	从事政治	必须花费3000元作为竞选费或有法学学位或有从政经验	0	20	0/0/0/0/0/0	
31	18.5	14	0	0	30	30	1	付房租	付年薪的50%作为房租	0	21	0/0/0/0/0/0	
32	18.5	16	0	1	31	31	1	机会	机会卡	0	100	0/0/0/0/0/1	
33	6.5	3.5	0	0	34	34	2	职业事件	太空船建造完成，获得16点快乐值。	0	100	0/0/16/0/0/0	
34	6.5	4.5	0	0	35	35	2	职业事件	发射成功，获得6点名誉值。	0	100	0/0/0/6/0/0	
35	6.5	5.5	0	0	36	36	2	职业事件	精神紧张失常，失去所有名誉。	0	22	0/0/0/0/0/0	
36	6.5	6.5	0	0	37	37	2	职业事件	太空船故障，失去所有现金。	0	23	0/0/0/0/0/0	
37	6.5	7.5	0	0	38	38	2	职业事件	紧急抢修，恢复正常，获得4点快乐值和2点名誉值。	0	100	0/0/4/2/0/0	
38	6.5	8.5	0	0	39	39	2	职业事件	因勇敢升职，加薪2000元。	0	100	0/2000/0/0/0/0	
39	5.5	8.5	0	0	40	40	2	职业事件	着陆，获得2张经验卡。	0	100	0/0/0/0/2/0	
40	4.5	8.5	0	0	41	41	2	职业事件	成为登录月球第一人，获得16点名誉值。	0	100	0/0/0/16/0/0	
41	4.5	7.5	0	0	42	42	2	职业事件	研究月光神秘，获得16点快乐值。	0	100	0/0/16/0/0/0	
42	4.5	6.5	0	0	43	43	2	职业事件	在月球喷火口发现金沙，获得10000元。	0	100	10000/0/0/0/0/0	
43	4.5	5.5	0	0	44	44	2	职业事件	攀登山峰，获得10点名誉值，但因伤进医院。	0	24	0/0/0/0/0/0	
44	4.5	4.5	0	0	45	45	2	职业事件	探险成功，返回地球，获得4点快乐值和6点名誉值。	0	100	0/0/4/6/0/0	
45	3.5	4.5	0	0	19	19	2	职业事件	出售月球所得纪念品，获得5000元。	0	100	5000/0/0/0/0/0	
46	11.5	3.5	0	0	47	47	2	职业事件	风景美丽，获得6点快乐值。	0	100	0/0/6/0/0/0	
47	11.5	4.5	0	0	48	48	2	职业事件	汽车太快，再掷一次。	0	25	0/0/0/0/0/0	
48	11.5	5.5	0	0	49	49	2	职业事件	因雪崩损失装备，付5000元或者进入公园坐板凳。	0	26	0/0/0/0/0/0	2000 改为 5000
49	11.5	6.5	0	0	50	50	2	职业事件	看到罕见的蝴蝶，获得2点快乐值。	0	100	0/0/2/0/0/0	
50	10.5	6.5	0	0	51	51	2	职业事件	勘探，获得2张经验卡。	0	100	0/0/0/0/2/0	
51	9.5	6.5	0	0	52	52	2	职业事件	惊险景胜，获得4点快乐值。	0	100	0/0/4/0/0/0	
52	8.5	6.5	0	0	53	53	2	职业事件	坠崖，进入医院。	0	27	0/0/0/0/0/0	
53	8.5	5.5	0	0	54	54	2	职业事件	发现珍贵矿藏，获得10000元。	0	100	10000/0/0/0/0/0	
54	8.5	4.5	0	0	55	55	2	职业事件	发现埋藏的古宝，获得4点快乐值和2点名誉值。	0	100	0/0/4/2/0/0	
55	9.5	4.5	0	0	56	56	2	职业事件	攀登高峰，获得6点快乐值。	0	100	0/0/6/0/0/0	
56	9.5	3.5	0	0	8	8	2	职业事件	发现丰富铀矿，获得2000元。	0	100	2000/0/0/0/0/0	
57	16.5	6.5	0	0	58	58	2	职业事件	成为日历封面女郎，获得6点名誉值。	0	100	0/0/0/6/0/0	
58	15.5	6.5	0	0	59	59	2	职业事件	试镜，获得1张经验卡。	0	100	0/0/0/0/1/0	
